alpha,scenario,EtOH,Ac,For,peak_S,yield
0.0,nominal,18.002018143460575,17.07452495632927,36.00403628692115,0.0,0.8370181801350152
0.05,nominal,17.991655765479944,16.188030323220456,34.171720915491605,0.4275,0.8595306424718374
0.1,nominal,18.148387621462607,14.622724207131366,30.94432535284773,0.855,0.906486476142277
0.15,nominal,18.47410553712266,13.128018972248832,27.869728918657657,1.2825,0.9595033978618156
0.2,nominal,18.88546076425334,11.812513465375735,25.168789655295583,1.71,1.0125100562454286
0.25,nominal,19.322890664244063,10.664341869364918,22.81454654002398,2.1375,1.0632826082717108
0.3,nominal,19.749258157687045,9.657234296136776,20.75121469271623,2.565,1.110919309942339
0.35,nominal,20.14022522067747,8.767268764590105,18.928387219225105,2.9925,1.155086545314915
0.4,nominal,20.478306464374327,7.974831835769143,17.304839627456996,3.42,1.1957303378478643
0.45,nominal,20.74964669148524,7.26407145077116,15.84726702989608,3.8475,1.2329445943451869
0.5,nominal,20.9423437401733,6.622109555126536,14.528588847728038,4.275,1.26690283583466
0.55,nominal,21.045661596401192,6.038411385165286,13.326613675081274,4.7025,1.2978195026199155
0.6,nominal,21.0497945653498,5.504332628643666,12.223094108550947,5.13,1.3259267013978118
0.65,nominal,20.945997770260856,5.012800344128864,11.203072794635554,5.5575,1.3514598016924737
0.7,nominal,20.72696803386053,4.558083188469478,10.254423099737387,5.985,1.3746484775651902
0.75,nominal,20.38738439152222,4.135616750149619,9.36751002706012,6.4125,1.3957112676894254
0.8,nominal,19.886643903173265,3.739142691426116,8.52921330075366,6.84,1.412473272652659
0.85,nominal,19.334567322268995,3.3691307475688985,7.740638505356717,7.2675,1.43255099360763
0.9,nominal,18.51819884296552,3.0225205841860205,6.995605751618568,7.695,1.4400956372253486
0.95,nominal,17.65357394074328,2.698547348383734,6.292890008936632,8.1225,1.4504540026627757
1.0,nominal,16.698036682433194,2.397226156914276,5.633045579927456,8.55,1.459582788232247
1.05,nominal,15.647098994113373,2.1167693083138075,5.012979277291371,8.9775,1.4658950305740508
1.1,nominal,14.546392754556637,1.8589298305326416,4.436462521095266,9.405,1.4716036620732855
1.15,nominal,13.396133814775515,1.6220249009041632,3.901305600704717,9.8325,1.4748342388818434
1.2,nominal,12.234696955308872,1.4067227796970196,3.410155716685672,10.26,1.4770441855433494
1.25,nominal,11.07791562462452,1.212397335822538,2.962297607728523,10.6875,1.477709817090456
1.3,nominal,9.943797642982718,1.0384263602362405,2.557065101812462,11.115,1.4765244140333489
1.35,nominal,8.858932641347037,0.8843369590573186,2.1947291677197773,11.5425,1.474591952721678
1.4,nominal,7.82472659101413,0.7483288837142854,1.8720897377035768,11.97,1.4699374282748252
1.45,nominal,6.864855912376537,0.6301465220987799,1.5886204757745257,12.3975,1.4645699710508455
1.5,nominal,5.978395645677537,0.5277099115767538,1.340821309367403,12.825,1.4568552563181438
0.0,AS-1,18.002018143460575,17.07452495632927,36.00403628692115,0.0,0.8370181801350152
0.05,AS-1,17.805513940380745,15.400670277518277,32.5375961057726,1.5525,0.8763376877854886
0.1,AS-1,17.920528051352413,13.828489707096455,29.29401067141749,3.105,0.9248251420568238
0.15,AS-1,18.01402603697754,12.330035995105517,26.201894781559247,4.6575,0.9752591432303768
0.2,AS-1,17.7674856631454,10.769870152567105,22.968515214983068,6.21,1.025494300134021
0.25,AS-1,16.817710353998372,9.081663638967312,19.44595057646708,7.7625,1.0683945701257789
0.3,AS-1,15.187073143709185,7.325795541793978,15.75494146161451,9.315,1.1082403519490571
0.35,AS-1,13.039770695334015,5.641746213374079,12.18891703122688,10.8675,1.1439285441793934
0.4,AS-1,10.734520728924725,4.181020747706195,9.078162705549264,12.42,1.175941812927176
0.45,AS-1,8.580076457432328,3.021321831576709,6.594001582590489,13.9725,1.2038350046540558
0.5,AS-1,6.757257444044678,2.157913746387264,4.735649634941431,15.525,1.2289112822950174
0.55,AS-1,5.279835118850775,1.537340385154138,3.3933797336070577,17.0775,1.2478100959595295
0.6,AS-1,4.133209949998946,1.100294370120516,2.4431933912569685,18.63,1.2643534203353466
0.65,AS-1,3.246724889089197,0.7934444681830657,1.772910103362072,20.1825,1.276008531236103
0.7,AS-1,2.563104700569616,0.5774045199340172,1.2986396588407472,21.735,1.2823533978899138
